No.,도메인,세부 도메인,의도 (Intention),문장
289,차량 제어,긴급 차량,에스오에스차량 양보,네가 일일구 소방차 지나가게 해 줘.
290,차량 제어,운전 제어,일자 따라 가기,우리 앞에 차랑 경로 같으니 쫓아 가.
291,비상 제어,보험사 연락,자동 보험사 연락,지금 보험사 랑 자동전화 부탁 해.
292,차량 제어,운전 제어,일자 따라 가기,앞 차에 딱 붙어서 운전해.
293,차량 제어,공조 제어,에어컨 제어,에어컨 온도 일도만 낮게 해 줘.
294,주행 정보,속도 확인,자율 주행 속도 확인,지금 설정된 자율 주행 속도가 몇이야?
295,주행 정보,주행 기록,자율 주행 주행 기록,지난 자율 주행 얼마나 걸렸지?
296,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 내역표 있나요?
297,차량 제어,운전 제어,일자 추월,지금 바로 앞의 차 추월해서 가 줘.
298,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 빠져 줄래?
299,차량 제어,좌석 제어,좌석 온도 제어,좌석 온도 뜨겁지 않게 조절해.
300,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행 플레이 스톱.
301,차량 제어,긴급 차량,에스오에스차량 양보,핸들 꺾고 우선 긴급 차량부터 가게 해 줘.
302,비상 제어,차량 비상 정지,비상 정지 모드 켜기,부딪힐 것 같으면 비상 정지 모드 바로 켜.
303,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 기록 정보 말해 줘.
304,비상 제어,보험사 연락,자동 보험사 연락,자동 보험사 연결 서비스.
305,차량 제어,좌석 제어,좌석 온도 내리기,운전석 온도 한 단계 내려 줄래요?
306,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 거리 기록해.
307,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 몇 번 썼는지 알려 줘.
308,차량 제어,좌석 제어,좌석 통풍 끄기,시트 통풍 기능 모두 정지해 줘.
309,차량 제어,운전 제어,일자 추월,속도를 높여 추월 하기 바라.
310,주행 정보,주행 기록,자율 주행 주행 기록,총 자율 주행 운행한 시간은 얼마지?
311,주행 정보,주행 기록,자율 주행 주행 기록,이 주 전 자율 주행 기록을 살펴봐 줄래?
312,차량 제어,속도 제어,주행 속도 세팅,시속 오십 킬로미터로 몰아 줘요.
313,비상 제어,차량 비상 정지,비상 정지 모드 켜기,자율주행 모드가 활성화되면 비상 정지 모드도 함께 활성화해 줘.
314,차량 제어,공조 제어,히터 켜기,추우니까 히터 켜자.
315,차량 제어,도어 제어,조수석 차문 열기,조수석 차 문 네가 좀 열어 줘.
316,차선 제어,갓길 이동 정차,갓길 이동 명령,전방에 갓길로 차량 진입해 줘.
317,차량 제어,공조 제어,히터 끄기,히터 때문에 답답한 거 같아 좀 꺼 줘.
318,차량 제어,운전 제어,일자 추월,앞 차 따라잡아서 추월해 줘.
319,차량 제어,긴급 차량,에스오에스차량 양보,차 빼서 구급차 통로 만들자.
320,차량 제어,도어 제어,전체 차문 열기,전체 차문 닫힘 상태 확인 바랍니다.
321,차량 제어,도어 제어,뒷자리 차문 열기,지금 뒤 문 열어 줘.
322,차량 제어,도어 제어,전체 차문 닫기,에어컨 좀 틀게 전체 차 문 닫아.
323,차량 제어,속도 제어,주행 속도 세팅,주행 속도 세팅 팔십으로 다시 해 줘.
324,차량 제어,긴급 차량,에스오에스차량 양보,구급차 통행해 방해되지 않게 해 줘.
325,차량 제어,공조 제어,히터 켜기,차 내 온도 히터 틀어 올려 줘.
326,차량 제어,공조 제어,에어컨 제어,에어컨 온도 지금보다 낮게 설정해.
327,차선 제어,갓길 이동 정차,갓길 이동 명령,차 좀 갓길로 빼줄래?
328,차선 제어,차선 변경,차선 변경,구급차 오니까 옆 차선으로 비켜 줘.
329,차선 제어,차선 변경,왼쪽으로 차선 변경,왼쪽으로 차선 두 칸 이동해 줘.
330,차선 제어,차선 변경,왼쪽으로 차선 변경,길이 너무 막히니까 왼쪽으로 차선 바꿔줄래?
331,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 주행한 시간에 대한 정보 줘.
332,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 원활했던 구간 어디야?
333,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행한 경로 보여 줘.
334,차량 제어,자율 주행 시작,자율 주행 모드 시작,전화오면 자율 주행 모드로 변경해 줘.
335,차량 제어,운전 제어,일자 따라 가기,오십 미터 전방에 주행중인 차량이 나타나면 앞 차의 속도에 맞춰서 따라 가.
336,차량 제어,공조 제어,에어컨 제어,에어컨 최대 풍량으로 풀가동.
337,차량 제어,운전 제어,일자 따라 가기,앞에 있는 차 뒤 따라서 가 줘.
338,차량 제어,긴급 차량,에스오에스차량 양보,소방차 지나가게 먼저 보내 줘.
339,차량 제어,도어 제어,조수석 차문 닫기,조수석에서 누가 내리면 자동으로 문 닫아 주겠니?
340,차선 제어,차선 변경,왼쪽으로 차선 변경,앞에 차량이 느리니까 좌측 차선으로 차선 바꿔 주라.
341,차선 제어,갓길 이동 정차,갓길 이동 명령,길 옆에 차를 대 줘.
342,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 모드 써도 되는지 알려 줘.
343,차량 제어,자율 주행 시작,자율 주행 모드 종료,고속도로 끝났으니 자율 주행 모드 오프.
344,비상 제어,보험사 연락,자동 보험사 연락,보험사에 자동 통화 원해.
345,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 스톱해.
346,차량 제어,공조 제어,에어컨 켜기,김 서림 때문에 잠시 에어컨 틀어 줘.
347,차량 제어,운전 제어,일자 따라 가기,앞에 보이는 차랑 똑같이 가자.
348,차량 제어,좌석 제어,좌석 온도 올리기,운전석 온도를 좀 올렸으면 해.
349,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드로 집까지 가자.
350,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드 킴으로 부탁해.
351,차량 제어,좌석 제어,좌석 온도 올리기,시트가 너무 차가운데 따뜻하게 해 줘.
352,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에서 잠시 쉴래.
353,차량 제어,운전 제어,일자 따라 가기,앞 차 따라붙기 가능하냐?
354,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드 종료 설정 부탁해.
355,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,여기서 자율 주행 모드 실행돼?
356,차량 제어,속도 제어,주행 속도 세팅,제한 속도 준수하면서 운전 바람.
357,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 기록표 보게 해 줘.
358,차선 제어,차선 변경,왼쪽으로 차선 변경,지금 왼쪽 차선으로 이동해.
359,차량 제어,긴급 차량,에스오에스차량 양보,구급차 지나 갈 수 있도록 빠져 봐.
360,차량 제어,속도 제어,주행 속도 세팅,기본 주행 속도로 세팅해.
361,차량 제어,공조 제어,에어컨 끄기,에어컨 이제 안 틀어도 될 것 같아.
362,차량 제어,긴급 차량,에스오에스차량 양보,사이렌 소리 들린다 양보해 주자.
363,차량 제어,창문 제어,조수석 창문 열기,운전석 옆자리 창문 내리기.
364,차량 제어,운전 제어,일자 따라 가기,앞 차를 졸졸 따라 가.
365,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,도로 상태가 자율 주행 문제 없나 검토해.
366,차량 제어,공조 제어,히터 제어,히터 이십육 도로 설정 할래.
367,주행 정보,주행 기록,자율 주행 주행 기록,여기에서 강남까지 자율 주행으로 간 적 있나?
368,차선 제어,차선 변경,오른쪽으로 차선 변경,차선 변경 오른쪽으로 해서 주행해 줘.
369,차선 제어,차선 변경,차선 변경,추월 차선으로 진입!
370,차량 제어,공조 제어,에어컨 켜기,에어컨으로 시원한 바람 쐴래.
371,주행 정보,주행 기록,자율 주행 주행 기록,최근까지의 자율 주행 기록 확인시켜 줘.
372,차선 제어,차선 변경,왼쪽으로 차선 변경,왼쪽으로 한 차선 바꿔 타.
373,차량 제어,좌석 제어,좌석 통풍 켜기,지금 좌석 통풍 시스템 실행해 줘.
374,차량 제어,운전 제어,일자 추월,속력 높여서 앞의 차보다 더 먼저 가 주세요.
375,차량 제어,자율 주행 시작,자율 주행 모드 종료,고속도록 끝나면 자율 주행 모드 꺼 줘.
376,차량 제어,좌석 제어,좌석 온도 올리기,열선 시트 최대로 켜 줘.
377,차량 제어,속도 제어,주행 속도 세팅,시속 육십 킬로미터로 맞춰 줘.
378,차량 제어,좌석 제어,좌석 온도 올리기,좌석 시트 너무 차가워 온도 높여 줘.
379,차량 제어,속도 제어,주행 속도 세팅,평균 도로 속도로 설정해서 주행해.
380,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,앞이 보이지 않는데 자율 모드 주행으로 가줄 수 있어?
381,차량 제어,도어 제어,전체 차문 열기,전체 차문 활짝 개방 바랍니다.
382,차량 제어,좌석 제어,좌석 통풍 켜기,오래 운전해야 하는데 등에 땀 차지 않게 통풍해 줘.
383,차량 제어,도어 제어,뒷자리 차문 닫기,뒷자리 차 문 열려 있으면 닫아 줘.
384,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 얼마나 멀리까지 갔는지 확인해 줘.
385,차량 제어,좌석 제어,좌석 통풍 끄기,땀 다 식어서 이제 괜찮아 좌석 통풍 꺼 줘.
386,차량 제어,창문 제어,전체 창문 닫기,창문 모두 닫아버려 줘.
387,차량 제어,도어 제어,조수석 차문 닫기,주행 시작하고 삼십킬로 정도 이동하면 조수석 차 문 잠가 줘.
388,비상 제어,보험사 연락,자동 보험사 연락,담당자 바로 컨텍 좀 해 봐.
389,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 지금 실행 가능해?
390,차선 제어,차선 변경,차선 변경,휴게소 가는 쪽으로 차선 변경해 줘.
391,차량 제어,긴급 차량,에스오에스차량 양보,경찰차 추격에 말리지 않게 운전해.
392,차량 제어,창문 제어,조수석 창문 닫기,조수석 창문은 끝까지 닫아 둬라.
393,비상 제어,차량 비상 정지,비상 정지 모드 켜기,너무 어두운데 비상 모드 켜 줘.
394,차량 제어,자율 주행 시작,자율 주행 모드 시작,내비게이션 찍힌 곳까지 자율 주행 모드 작동해 줘.
395,차량 제어,창문 제어,전체 창문 열기,전체 창문은 열어 주고 운전해.
396,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 이동해서 차 좀 세우자.
397,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지를 온 시켜 줘.
398,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드 오 분 뒤에 시작해 주겠니?
399,차량 제어,운전 제어,일자 따라 가기,앞 차와 동행 모드.
400,차선 제어,차선 유지,차선 유지 모드 켜기,차선 이대로 그냥 가.
401,차량 제어,도어 제어,뒷자리 차문 닫기,출발하면 뒷자리 왼 쪽만 잠궈 줘.
402,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 모드 작동시켜도 돼?
403,차량 제어,좌석 제어,좌석 통풍 켜기,뒷좌석에도 바람 통할 수 있게 해 줘.
404,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드는 이제 넣어 둬.
405,비상 제어,보험사 연락,자동 보험사 연락,자동으로 보험사에 신고해 줘.
406,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드로 전환 해.
407,차량 제어,속도 제어,주행 속도 세팅,설정돼 있는 주행 속도 팔십으로 바꿔 줄래?
408,비상 제어,보험사 연락,자동 보험사 연락,자동사 보험사에 자동으로 연락 줘.
409,주행 정보,주행 기록,자율 주행 주행 기록,지금까지 자율 주행을 사용한 시간대를 계산해.
410,차량 제어,공조 제어,히터 제어,히터 온도를 올리고 싶어졌어.
411,차량 제어,긴급 차량,에스오에스차량 양보,긴급 차량 먼저 지나가게 배려해 줘.
412,비상 제어,차량 비상 정지,비상 정지 모드 끄기,온에서 오프로 비상 정지 모드 바꿔 줘.
413,차량 제어,창문 제어,전체 창문 열기,냄새 빠지게 전체 창문 다 열어 봐.
414,차량 제어,도어 제어,조수석 차문 열기,조수석 차 문 지금 열어.
415,차량 제어,좌석 제어,좌석 통풍 끄기,시트에 바람 그만 통하게 해.
416,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드로 회사까지 주행해 줘.
417,차량 제어,좌석 제어,좌석 통풍 켜기,시트 통풍으로 땀 날아가게 해 줘.
418,차량 제어,공조 제어,히터 제어,현재 상태에서 히터 온도를 일 도 만큼 올려 줘.
419,차선 제어,차선 변경,차선 변경,안쪽 차선으로 자리 옮겨.
420,비상 제어,보험사 연락,자동 보험사 연락,보험사랑 자동으로 연락할 수 있는 방법 알려 줘.
421,차량 제어,운전 제어,일자 추월,앞의 차 추월할 수 있지?
422,차량 제어,긴급 차량,에스오에스차량 양보,뒤에 긴급 차량 오니까 차선 변경해.
423,비상 제어,차량 비상 정지,비상 정지 모드 끄기,차가 별로 없네 비상 정지 모드 끔으로 설정해 줘.
424,차량 제어,도어 제어,조수석 차문 열기,조수석에 엄마 타게 문 열어.
425,차량 제어,공조 제어,히터 제어,히터 약풍으로 바꿔.
426,차량 제어,도어 제어,뒷자리 차문 열기,뒷자리 차문 자동 열어 줘.
427,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행해 달라고 하고 싶은데 가능 여부 알아봐.
428,차량 제어,운전 제어,일자 따라 가기,앞 차 가는 길대로 가면 돼.
429,차량 제어,공조 제어,에어컨 제어,에어컨 세기 이 단계로 해 줘.
430,차량 제어,긴급 차량,에스오에스차량 양보,구급차 먼저 보내도록 해.
431,차량 제어,공조 제어,에어컨 제어,에어컨 최저 온도 설정.
432,차선 제어,차선 변경,왼쪽으로 차선 변경,다음 안내 나오면 차선 왼쪽으로 변경해 줘.
